DateTime,Wind speed,Air temperature,Pressure,Power generated
01-01-2019 01:00,9.014,10.926,0.979103,33.6881
01-01-2019 02:00,9.428,9.919,0.979566,37.2619
01-01-2019 03:00,8.7,8.567,0.979937,30.5029
01-01-2019 04:00,8.481,7.877,0.980053,28.4192
01-01-2019 05:00,8.383,7.259,0.979867,27.3703
01-01-2019 06:00,8.256,6.57,0.979884,25.8059
01-01-2019 07:00,6.476,5.897,0.980318,11.5468
01-01-2019 08:00,5.906,5.109,0.980597,8.36076
01-01-2019 09:00,5.557,4.413,0.980711,6.42664
01-01-2019 10:00,6.081,3.754,0.980902,9.34945
01-01-2019 11:00,7.384,3.169,0.981166,18.6136
01-01-2019 12:00,9.072,2.637,0.981347,35.3811
01-01-2019 13:00,7.142,1.948,0.981703,17.3315
01-01-2019 14:00,7.451,2.296,0.982196,19.8723
01-01-2019 15:00,5.764,4.042,0.982576,8.19046
01-01-2019 16:00,5.887,5.504,0.982961,8.7318
01-01-2019 17:00,5.866,6.217,0.983083,8.57877
01-01-2019 18:00,6.266,6.74,0.983409,11.03
01-01-2019 19:00,6.278,7.25,0.983824,11.0884
01-01-2019 20:00,6.311,7.579,0.984266,11.2202
01-01-2019 21:00,6.864,7.612,0.984686,14.6931
01-01-2019 22:00,6.904,7.139,0.985268,15.0647
01-01-2019 23:00,7.024,5.44,0.986055,16.2475
02-01-2019 00:00,9.013,4.506,0.986852,34.74
02-01-2019 01:00,9.166,3.621,0.987624,35.3936
02-01-2019 02:00,9.128,2.707,0.988206,35.2784
02-01-2019 03:00,9.849,2.043,0.988741,43.5828
02-01-2019 04:00,9.738,1.268,0.988973,42.3415
02-01-2019 05:00,9.544,0.357,0.989072,40.3467
02-01-2019 06:00,9.712,-0.702,0.989481,42.2588
02-01-2019 07:00,10.046,-0.28,0.989868,45.5699
02-01-2019 08:00,9.75,-0.126,0.990032,41.6162
02-01-2019 09:00,9.874,-0.215,0.990204,42.9783
02-01-2019 10:00,9.755,-0.281,0.990265,41.3066
02-01-2019 11:00,9.614,-0.478,0.990621,39.9035
02-01-2019 12:00,9.616,-0.631,0.990962,40.5643
02-01-2019 13:00,9.817,-0.747,0.991278,42.8628
02-01-2019 14:00,9.215,0.001,0.991638,37.0646
02-01-2019 15:00,6.991,2.156,0.991861,16.0518
02-01-2019 16:00,5.11,3.901,0.991989,4.92684
02-01-2019 17:00,3.946,5.578,0.991843,1.3034
02-01-2019 18:00,3.04,7.039,0.991669,0
02-01-2019 19:00,2.38,8.243,0.991462,0
02-01-2019 20:00,2.068,9.203,0.991194,0
02-01-2019 21:00,1.886,9.808,0.990899,0
02-01-2019 22:00,2.426,9.349,0.990634,0
02-01-2019 23:00,3.412,5.977,0.990709,0
03-01-2019 00:00,3.803,4.652,0.990939,0.995606
03-01-2019 01:00,4.11,3.956,0.99108,1.66172
03-01-2019 02:00,4.612,3.119,0.991185,3.06072
03-01-2019 03:00,6.282,2.503,0.991121,11.3547
03-01-2019 04:00,6.774,1.743,0.990967,14.3691
03-01-2019 05:00,7.591,1.087,0.990807,21.2785
03-01-2019 06:00,8.96,0.724,0.990834,34.7533
03-01-2019 07:00,10.019,1.144,0.991063,45.8952
03-01-2019 08:00,8.921,1.868,0.991178,34.2257
03-01-2019 09:00,8.569,1.606,0.99126,30.2575
03-01-2019 10:00,8.345,1.283,0.991386,28.0582
03-01-2019 11:00,7.838,1.081,0.991667,23.2929
03-01-2019 12:00,8.433,1.068,0.991865,29.0654
03-01-2019 13:00,8.896,1.056,0.992048,34.1092
03-01-2019 14:00,8.901,1.937,0.992169,34.0528
03-01-2019 15:00,7.182,4.047,0.992188,17.7016
03-01-2019 16:00,5.034,6.377,0.991966,4.53884
03-01-2019 17:00,4.62,8.406,0.991383,3.02651
03-01-2019 18:00,4.318,9.954,0.990889,2.19334
03-01-2019 19:00,3.949,11.128,0.99037,1.26536
03-01-2019 20:00,4.602,12.128,0.989766,2.90609
03-01-2019 21:00,4.91,12.364,0.989237,3.95308
03-01-2019 22:00,4.899,11.649,0.988795,3.88915
03-01-2019 23:00,5.525,8.479,0.988598,6.63176
04-01-2019 00:00,6.97,6.938,0.988555,15.134
04-01-2019 01:00,6.66,6.091,0.988491,13.2875
04-01-2019 02:00,6.307,5.456,0.988371,11.3761
04-01-2019 03:00,7.583,5.872,0.988303,20.373
04-01-2019 04:00,9.487,5.641,0.988076,37.6814
04-01-2019 05:00,9.275,5.433,0.987649,35.938
04-01-2019 06:00,8.153,5.395,0.987472,24.8463
04-01-2019 07:00,6.892,6.506,0.987403,14.7193
04-01-2019 08:00,6.166,6.861,0.9872,10.3735
04-01-2019 09:00,6.368,7.258,0.986888,11.5098
04-01-2019 10:00,6.201,7.487,0.986579,10.7184
04-01-2019 11:00,6.378,7.654,0.986389,11.5
04-01-2019 12:00,6.445,7.957,0.986043,11.7928
04-01-2019 13:00,6.624,7.915,0.98563,12.81
04-01-2019 14:00,6.379,7.344,0.985335,11.4592
04-01-2019 15:00,5.887,8.452,0.985032,8.61617
04-01-2019 16:00,4.332,11.127,0.984393,2.20777
04-01-2019 17:00,4.25,13.487,0.98354,1.95681
04-01-2019 18:00,6.576,15.949,0.982735,11.7613
04-01-2019 19:00,6.853,16.747,0.982202,13.8303
04-01-2019 20:00,5.745,16.091,0.981877,7.7609
04-01-2019 21:00,5.425,16.355,0.98104,5.70692
04-01-2019 22:00,7.678,15.16,0.980077,20.6024
04-01-2019 23:00,8.307,14.947,0.979534,26.2429
05-01-2019 00:00,8.574,15.222,0.979209,28.2442
05-01-2019 01:00,9.42,15.448,0.979178,35.6044
05-01-2019 02:00,9.474,15.39,0.979083,36.7624
05-01-2019 03:00,8.546,15.357,0.978637,27.4982
05-01-2019 04:00,8.725,15.268,0.978039,28.9533
05-01-2019 05:00,8.508,15.131,0.977431,26.9788
05-01-2019 06:00,9.454,15.155,0.976866,36.038
05-01-2019 07:00,9.97,15.058,0.976353,41.2384
05-01-2019 08:00,10.262,15.037,0.975986,44.0998
05-01-2019 09:00,8.961,15.052,0.975404,31.5706
05-01-2019 10:00,8.6,15.257,0.974728,28.5292
05-01-2019 11:00,9.067,15.404,0.974009,33.5099
05-01-2019 12:00,8.593,15.657,0.973727,27.5386
05-01-2019 13:00,9.845,15.758,0.973239,39.4281
05-01-2019 14:00,9.735,15.695,0.97332,39.1512
05-01-2019 15:00,9.84,16.621,0.973417,40.6945
05-01-2019 16:00,9.518,17.127,0.973212,37.0919
05-01-2019 17:00,9.515,17.4,0.972966,36.9382
05-01-2019 18:00,8.274,17.648,0.972669,25.5452
05-01-2019 19:00,7.343,17.5,0.97279,17.8633
05-01-2019 20:00,6.881,18.034,0.97284,14.2043
05-01-2019 21:00,8.224,18.291,0.972971,24.9939
05-01-2019 22:00,8.768,17.533,0.9733,30.1481
05-01-2019 23:00,8.179,15.283,0.974008,24.7736
06-01-2019 00:00,7.68,12.697,0.974688,20.7047
06-01-2019 01:00,8.602,11.746,0.975226,28.5237
06-01-2019 02:00,8.189,10.843,0.975844,24.6865
06-01-2019 03:00,5.936,9.822,0.976413,8.55596
06-01-2019 04:00,4.315,9.268,0.976694,2.14469
06-01-2019 05:00,3.774,8.8,0.976789,0.917818
06-01-2019 06:00,3.942,8.042,0.977037,1.27004
06-01-2019 07:00,4.622,8.405,0.97751,2.86884
06-01-2019 08:00,5.112,8.405,0.977825,4.61359
06-01-2019 09:00,7.025,7.816,0.978276,15.6459
06-01-2019 10:00,6.381,9.442,0.978511,11.3643
06-01-2019 11:00,4.433,9.367,0.979247,2.47438
06-01-2019 12:00,3.836,9.881,0.979626,1.04475
06-01-2019 13:00,5.063,10.318,0.980135,4.55981
06-01-2019 14:00,4.348,10.265,0.980764,2.23444
06-01-2019 15:00,3.087,10.733,0.981182,0
06-01-2019 16:00,1.583,12.322,0.981459,0
06-01-2019 17:00,1.474,14.064,0.981443,0
06-01-2019 18:00,1.779,15.025,0.981546,0
06-01-2019 19:00,1.847,15.853,0.981656,0
06-01-2019 20:00,2.246,16.501,0.981655,0
06-01-2019 21:00,2.958,16.723,0.981665,0
06-01-2019 22:00,3.421,16.249,0.981846,0
06-01-2019 23:00,3.727,13.548,0.98215,0.805824
07-01-2019 00:00,3.77,12.156,0.98258,0.907874
07-01-2019 01:00,3.544,11.195,0.982997,0
07-01-2019 02:00,2.833,10.728,0.983331,0
07-01-2019 03:00,1.784,10.489,0.983493,0
07-01-2019 04:00,1.749,9.799,0.983447,0
07-01-2019 05:00,1.922,8.674,0.98319,0
07-01-2019 06:00,2.782,8.465,0.983197,0
07-01-2019 07:00,3.884,8.956,0.983273,1.14601
07-01-2019 08:00,5.554,9.323,0.983133,6.80754
07-01-2019 09:00,7.519,9.788,0.982875,19.9011
07-01-2019 10:00,8.358,9.598,0.982578,27.1835
07-01-2019 11:00,8.585,9.725,0.982254,29.2372
07-01-2019 12:00,7.883,10.565,0.981909,22.7275
07-01-2019 13:00,7.674,11.031,0.981676,21.0206
07-01-2019 14:00,6.855,11.367,0.981284,14.4493
07-01-2019 15:00,8.896,11.717,0.980359,32.3172
07-01-2019 16:00,7.143,12.269,0.980051,16.3973
07-01-2019 17:00,7.777,12.658,0.979036,20.8589
07-01-2019 18:00,6.237,12.699,0.978259,10.6796
07-01-2019 19:00,7.608,14.072,0.977375,20.2907
07-01-2019 20:00,10.004,15.572,0.976936,41.2151
07-01-2019 21:00,7.185,13.548,0.977125,16.7291
07-01-2019 22:00,6.787,12.217,0.977342,13.7723
07-01-2019 23:00,5.05,12.002,0.977288,4.36996
08-01-2019 00:00,7.032,12.018,0.977572,15.2617
08-01-2019 01:00,7.525,11.698,0.978179,19.5334
08-01-2019 02:00,7.578,10.921,0.978514,20.2197
08-01-2019 03:00,7.461,10.41,0.979077,19.3703
08-01-2019 04:00,7.072,9.964,0.979257,16.2316
08-01-2019 05:00,7.796,9.822,0.979172,21.9607
08-01-2019 06:00,7.767,9.241,0.979873,21.772
08-01-2019 07:00,8.103,6.983,0.98049,24.9674
08-01-2019 08:00,8.269,6.003,0.981081,26.6631
08-01-2019 09:00,8.314,7.095,0.981467,26.9899
08-01-2019 10:00,8.997,5.879,0.981986,34.1442
08-01-2019 11:00,9.696,4.373,0.982816,40.125
08-01-2019 12:00,8.402,2.853,0.983491,27.3294
08-01-2019 13:00,8.028,1.533,0.984128,23.9544
08-01-2019 14:00,7.726,1.336,0.984707,21.496
08-01-2019 15:00,4.563,2.306,0.985344,2.85172
08-01-2019 16:00,3.846,3.444,0.985653,1.09389
08-01-2019 17:00,3.785,4.572,0.9856,0.953001
08-01-2019 18:00,4.145,5.67,0.985519,1.71554
08-01-2019 19:00,4.536,6.559,0.985351,2.80601
08-01-2019 20:00,4.673,7.045,0.985326,3.07269
08-01-2019 21:00,5.258,7.071,0.985327,5.09373
08-01-2019 22:00,5.426,6.976,0.985278,5.80268
08-01-2019 23:00,7.192,5.22,0.985329,16.8858
09-01-2019 00:00,6.53,3.333,0.985374,12.0281
09-01-2019 01:00,8.366,3.205,0.985556,27.926
09-01-2019 02:00,9.923,2.857,0.985817,44.0814
09-01-2019 03:00,9.996,2.194,0.985928,45.1308
09-01-2019 04:00,9.903,1.662,0.9859,43.9878
09-01-2019 05:00,9.966,0.582,0.985642,44.6383
09-01-2019 06:00,9.11,-0.066,0.985599,35.9632
09-01-2019 07:00,8.33,-0.139,0.985659,27.934
09-01-2019 08:00,8.364,0.035,0.985442,28.2948
09-01-2019 09:00,10.029,-0.035,0.98507,45.4106
09-01-2019 10:00,10.804,0.054,0.984906,53.2697
09-01-2019 11:00,10.245,0.059,0.985002,47.3253
09-01-2019 12:00,10.658,0.228,0.985153,50.7769
09-01-2019 13:00,10.917,0.447,0.98549,53.1118
09-01-2019 14:00,9.803,0.906,0.986073,42.1314
09-01-2019 15:00,7.945,3.258,0.986489,24.0046
09-01-2019 16:00,7.883,4.69,0.986835,23.3592
09-01-2019 17:00,8.895,5.979,0.986999,33.2332
09-01-2019 18:00,9.387,6.858,0.987219,37.5515
09-01-2019 19:00,9.917,7.37,0.987749,43.3073
09-01-2019 20:00,9.892,7.506,0.988137,43.0702
09-01-2019 21:00,10.192,7.287,0.988414,46.6452
09-01-2019 22:00,9.661,6.594,0.988951,40.6687
09-01-2019 23:00,10.238,4.875,0.989667,47.5107
10-01-2019 00:00,10.269,3.479,0.990336,48.0607
10-01-2019 01:00,10.952,2.554,0.990921,54.3854
10-01-2019 02:00,10.488,1.635,0.991531,49.8111
10-01-2019 03:00,10.626,0.42,0.991937,51.5978
10-01-2019 04:00,10.876,-0.001,0.992084,53.6579
10-01-2019 05:00,10.284,-0.752,0.992259,48.6918
10-01-2019 06:00,9.356,-1.13,0.992679,38.7823
10-01-2019 07:00,9.072,-1.692,0.993064,36.4802
10-01-2019 08:00,10.081,-1.441,0.9933,47.2307
10-01-2019 09:00,8.99,-1.287,0.993486,35.5916
10-01-2019 10:00,7.948,-1.739,0.993815,24.745
10-01-2019 11:00,7.482,-2.062,0.994096,20.6538
10-01-2019 12:00,5.865,-2.337,0.994362,8.60736
10-01-2019 13:00,6.057,-2.542,0.994551,10.1864
10-01-2019 14:00,5.26,-1.584,0.994714,5.68939
10-01-2019 15:00,2.938,0.638,0.994927,0
10-01-2019 16:00,2.363,2.401,0.994982,0
10-01-2019 17:00,1.972,3.848,0.994668,0
10-01-2019 18:00,2.309,5.199,0.994316,0
10-01-2019 19:00,1.839,6.222,0.994023,0
10-01-2019 20:00,1.662,6.898,0.993683,0
10-01-2019 21:00,1.962,7.149,0.993363,0
10-01-2019 22:00,1.943,6.561,0.993075,0
10-01-2019 23:00,2.977,3.225,0.992929,0
11-01-2019 00:00,4.247,1.744,0.99284,2.0482
11-01-2019 01:00,4.994,0.715,0.992758,4.4834
11-01-2019 02:00,5.966,0.176,0.992756,9.44986
11-01-2019 03:00,7.502,0.25,0.992728,20.5421
11-01-2019 04:00,7.629,0.357,0.992551,21.4817
11-01-2019 05:00,8.562,0.672,0.992217,30.2599
11-01-2019 06:00,9.015,0.471,0.992183,35.2953
11-01-2019 07:00,9.284,0.452,0.99228,37.6518
11-01-2019 08:00,9.754,0.661,0.992496,42.6192
11-01-2019 09:00,9.003,0.322,0.992543,34.8507
11-01-2019 10:00,9.435,0.357,0.992636,38.4385
11-01-2019 11:00,9.639,0.307,0.992829,40.7921
11-01-2019 12:00,9.929,0.35,0.992997,44.3117
11-01-2019 13:00,10.378,0.412,0.993159,49.5936
11-01-2019 14:00,10.505,1.326,0.993252,50.9494
11-01-2019 15:00,8.139,3.938,0.993248,25.5743
11-01-2019 16:00,7.426,6.338,0.993058,19.2377
11-01-2019 17:00,8.088,8.103,0.992512,24.3223
11-01-2019 18:00,8.218,9.477,0.991985,25.1782
11-01-2019 19:00,8.615,10.661,0.991553,28.8906
11-01-2019 20:00,9.056,11.418,0.991158,33.74
11-01-2019 21:00,9.28,11.715,0.990792,35.9562
11-01-2019 22:00,8.771,11.096,0.990481,30.9556
11-01-2019 23:00,9.785,9.165,0.990502,41.0346
12-01-2019 00:00,10.572,8.618,0.990624,49.0502
12-01-2019 01:00,12.065,8.039,0.990887,58.311
12-01-2019 02:00,11.895,7.775,0.991154,57.9277
12-01-2019 03:00,12.388,7.881,0.991405,58.5515
12-01-2019 04:00,12.141,8.286,0.991593,58.4099
12-01-2019 05:00,11.91,9.374,0.991241,57.6709
12-01-2019 06:00,12.2,9.745,0.991013,57.987
12-01-2019 07:00,12.206,9.913,0.991121,57.9642
12-01-2019 08:00,11.488,9.936,0.991294,56.0733
12-01-2019 09:00,11.377,9.784,0.991475,55.5467
12-01-2019 10:00,10.965,9.264,0.991627,52.5799
12-01-2019 11:00,10.701,8.415,0.991932,50.2614
12-01-2019 12:00,11.557,8.471,0.992124,56.7392
12-01-2019 13:00,12.018,8.769,0.992182,57.9607
12-01-2019 14:00,10.802,9.168,0.992385,51.3032
12-01-2019 15:00,9.021,11.043,0.992429,32.9824
12-01-2019 16:00,7.192,12.616,0.992314,16.5162
12-01-2019 17:00,6.281,14.848,0.992025,10.6141
12-01-2019 18:00,6.357,16.433,0.991642,11.0597
12-01-2019 19:00,6.53,17.698,0.991266,11.9787
12-01-2019 20:00,6.799,18.535,0.990928,13.842
12-01-2019 21:00,7.443,18.881,0.990514,18.9198
12-01-2019 22:00,7.229,17.653,0.990283,17.1736
12-01-2019 23:00,8.249,16.194,0.990298,24.9803
13-01-2019 00:00,9.124,15.581,0.99028,33.5314
13-01-2019 01:00,9.758,15.279,0.99027,39.8593
13-01-2019 02:00,10.007,14.767,0.990399,42.9428
13-01-2019 03:00,10.477,14.119,0.990371,48.0922
13-01-2019 04:00,10.951,13.66,0.99024,52.5016
13-01-2019 05:00,10.744,13.235,0.989959,50.8231
13-01-2019 06:00,10.103,12.92,0.989886,44.1753
13-01-2019 07:00,10.043,12.778,0.989871,43.5094
13-01-2019 08:00,10.261,12.77,0.98992,46.1914
13-01-2019 09:00,9.919,12.809,0.989887,42.5927
13-01-2019 10:00,9.529,12.738,0.989703,38.2706
13-01-2019 11:00,9.455,12.517,0.989801,37.795
13-01-2019 12:00,9.226,11.905,0.989844,35.8114
13-01-2019 13:00,9.096,11.723,0.990027,34.876
13-01-2019 14:00,8.349,12.162,0.990091,27.1798
13-01-2019 15:00,7.403,14.133,0.989998,18.8997
13-01-2019 16:00,6.09,16.799,0.989769,9.71643
13-01-2019 17:00,7.066,18.427,0.989271,15.9553
13-01-2019 18:00,7.702,19.845,0.988823,20.5797
13-01-2019 19:00,7.49,20.48,0.988427,18.7841
13-01-2019 20:00,7.296,20.636,0.987917,17.5226
13-01-2019 21:00,7.272,20.157,0.987518,17.4732
13-01-2019 22:00,7.116,19.091,0.987345,16.2832
13-01-2019 23:00,6.677,18.152,0.987348,12.863
14-01-2019 00:00,7.365,17.676,0.987561,18.321
14-01-2019 01:00,7.922,16.699,0.987634,22.786
14-01-2019 02:00,7.703,16.3,0.987653,21.0324
14-01-2019 03:00,7.485,15.925,0.987696,19.4137
14-01-2019 04:00,7.638,15.676,0.987542,20.6017
14-01-2019 05:00,8.281,15.335,0.987279,26.2589
14-01-2019 06:00,8.316,15.108,0.987452,26.5236
